,Province/State,Country/Region,Date,Confirmed_Cases,Recoveries,Deaths,Active_Cases
0,,Afghanistan,1/22/20,0,0.0,0,0.0
1,,Albania,1/22/20,0,0.0,0,0.0
2,,Algeria,1/22/20,0,0.0,0,0.0
3,,Andorra,1/22/20,0,0.0,0,0.0
4,,Angola,1/22/20,0,0.0,0,0.0
5,,Antigua and Barbuda,1/22/20,0,0.0,0,0.0
6,,Argentina,1/22/20,0,0.0,0,0.0
7,,Armenia,1/22/20,0,0.0,0,0.0
8,Australian Capital Territory,Australia,1/22/20,0,0.0,0,0.0
9,New South Wales,Australia,1/22/20,0,0.0,0,0.0
10,Northern Territory,Australia,1/22/20,0,0.0,0,0.0
11,Queensland,Australia,1/22/20,0,0.0,0,0.0
12,South Australia,Australia,1/22/20,0,0.0,0,0.0
13,Tasmania,Australia,1/22/20,0,0.0,0,0.0
14,Victoria,Australia,1/22/20,0,0.0,0,0.0
15,Western Australia,Australia,1/22/20,0,0.0,0,0.0
16,,Austria,1/22/20,0,0.0,0,0.0
17,,Azerbaijan,1/22/20,0,0.0,0,0.0
18,,Bahamas,1/22/20,0,0.0,0,0.0
19,,Bahrain,1/22/20,0,0.0,0,0.0
20,,Bangladesh,1/22/20,0,0.0,0,0.0
21,,Barbados,1/22/20,0,0.0,0,0.0
22,,Belarus,1/22/20,0,0.0,0,0.0
23,,Belgium,1/22/20,0,0.0,0,0.0
24,,Benin,1/22/20,0,0.0,0,0.0
25,,Bhutan,1/22/20,0,0.0,0,0.0
26,,Bolivia,1/22/20,0,0.0,0,0.0
27,,Bosnia and Herzegovina,1/22/20,0,0.0,0,0.0
28,,Brazil,1/22/20,0,0.0,0,0.0
29,,Brunei,1/22/20,0,0.0,0,0.0
30,,Bulgaria,1/22/20,0,0.0,0,0.0
31,,Burkina Faso,1/22/20,0,0.0,0,0.0
32,,Cabo Verde,1/22/20,0,0.0,0,0.0
33,,Cambodia,1/22/20,0,0.0,0,0.0
34,,Cameroon,1/22/20,0,0.0,0,0.0
35,Alberta,Canada,1/22/20,0,,0,
36,British Columbia,Canada,1/22/20,0,,0,
37,Grand Princess,Canada,1/22/20,0,,0,
38,Manitoba,Canada,1/22/20,0,,0,
39,New Brunswick,Canada,1/22/20,0,,0,
40,Newfoundland and Labrador,Canada,1/22/20,0,,0,
41,Nova Scotia,Canada,1/22/20,0,,0,
42,Ontario,Canada,1/22/20,0,,0,
43,Prince Edward Island,Canada,1/22/20,0,,0,
44,Quebec,Canada,1/22/20,0,,0,
45,Saskatchewan,Canada,1/22/20,0,,0,
46,,Central African Republic,1/22/20,0,0.0,0,0.0
47,,Chad,1/22/20,0,0.0,0,0.0
48,,Chile,1/22/20,0,0.0,0,0.0
49,Anhui,China,1/22/20,1,0.0,0,1.0
50,Beijing,China,1/22/20,14,0.0,0,14.0
51,Chongqing,China,1/22/20,6,0.0,0,6.0
52,Fujian,China,1/22/20,1,0.0,0,1.0
53,Gansu,China,1/22/20,0,0.0,0,0.0
54,Guangdong,China,1/22/20,26,0.0,0,26.0
55,Guangxi,China,1/22/20,2,0.0,0,2.0
56,Guizhou,China,1/22/20,1,0.0,0,1.0
57,Hainan,China,1/22/20,4,0.0,0,4.0
58,Hebei,China,1/22/20,1,0.0,0,1.0
59,Heilongjiang,China,1/22/20,0,0.0,0,0.0
60,Henan,China,1/22/20,5,0.0,0,5.0
61,Hong Kong,China,1/22/20,0,0.0,0,0.0
62,Hubei,China,1/22/20,444,28.0,17,399.0
63,Hunan,China,1/22/20,4,0.0,0,4.0
64,Inner Mongolia,China,1/22/20,0,0.0,0,0.0
65,Jiangsu,China,1/22/20,1,0.0,0,1.0
66,Jiangxi,China,1/22/20,2,0.0,0,2.0
67,Jilin,China,1/22/20,0,0.0,0,0.0
68,Liaoning,China,1/22/20,2,0.0,0,2.0
69,Macau,China,1/22/20,1,0.0,0,1.0
70,Ningxia,China,1/22/20,1,0.0,0,1.0
71,Qinghai,China,1/22/20,0,0.0,0,0.0
72,Shaanxi,China,1/22/20,0,0.0,0,0.0
73,Shandong,China,1/22/20,2,0.0,0,2.0
74,Shanghai,China,1/22/20,9,0.0,0,9.0
75,Shanxi,China,1/22/20,1,0.0,0,1.0
76,Sichuan,China,1/22/20,5,0.0,0,5.0
77,Tianjin,China,1/22/20,4,0.0,0,4.0
78,Tibet,China,1/22/20,0,0.0,0,0.0
79,Xinjiang,China,1/22/20,0,0.0,0,0.0
80,Yunnan,China,1/22/20,1,0.0,0,1.0
